,Name,Distance,Mass,Radius
1,SDSS J000013.54+255418.6 [de],46.1,48,0.99
3,2MASS J00040288-6410358,192.0,19,1.63
7,2MASS J00242463-0158201,37.7,79,1.09
11,2MASS J00274197+0503417,236.0,31,1.44
15,2MASSW J0030300-145033,87.2,54,0.98
17,2MASS J00332386-1521309 [de],131.0,29,1.43
19,2MASS J00345157+0523050,31.0,42,0.94
21,2MASS 0036+1821,28.6,42,0.94
23,2MASSW J0045214+163445,57.0,23,1.62
25,WISEP J004701.06+680352.1 [fr],40.0,12,1.3
27,2MASS J00501994-3322402 [de],34.0,40,0.94
31,2MASS J00584253-0651239 [de],96.0,29,1.43
35,2MASSI J0103320+193536,70.0,52,0.98
37,SDSSp J010752.33+004156.1 [de],51.0,52,0.98
39,2MASSI J0117474-340325 [de],163.0,20,1.62
41,2MASS J01415823-4633574 [de],130.0,20,1.61
43,SDSS J015141.69+124429.6,70.0,47,0.97
51,SDSS J020742.48+000056.2 [de],111.0,47,0.97
53,2MASS J02103857-3015313,101.0,15,1.53
55,2MASS J02340093-6442068,155.0,20,1.62
57,2MASS J02411151-0326587 [de],152.0,27,1.41
59,2MASS J02431371−2453298,35.0,33,0.99
61,LP 771-21,53.0,78,1.08
65,Teegarden's star,12.578,80,1.27
67,2MASS J02535980+3206373,184.0,65,1.9
69,WISE J0254+0223,24.0,65,1.9
71,DEN 0255-4700,16.2,80,0.97
73,2MASS J03185403-3421292 [de],45.0,49,0.97
75,2MASS J03205965+1854233,47.0,88,1.15
77,2MASS J03231002-4631237,192.0,23,1.66
79,SDSS J032553.17+042540.1,59.0,45,0.95
81,2MASS J03264225-2102057 [de],80.0,18,1.3
83,2MASS J03284265+2302051 [de],98.0,54,0.98
85,2MASS J03341218-4953322,27.0,73,1.04
87,LP 944-20,20.9,73,1.43
89,2MASP J0345432+254023,88.0,74,1.05
91,Teide 1,380.0,55,3.78
93,2MASS J03510004-0052452,48.0,102,1.27
95,2MASS J03552337+1133437,29.8,20,1.32
99,2MASS J04151954−0935066,18.6,30,0.95
103,2MASS J04285096-2253227 [de],85.0,80,1.09
105,2MASS J04351612-1606574,34.0,100,1.26
107,2MASS J04362788-4114465,142.0,39,1.97
109,2MASS J04390101-2353083 [de],29.5,48,0.97
113,2MASS J04433764+0002040,82.0,22,1.78
115,2MASS J04455387-3048204 [de],42.0,64,1.0
117,2MASS J04510093-3402150 [de],69.0,1.04,72.0
119,2MASS J05002100+0330501 [de],44.0,64,1.0
121,2MASS J05012406-0010452 [de],64.0,21,1.38
123,2MASS J05160945-0445499 [de],73.0,47,0.97
125,2MASS J0523−1403,40.0,68,1.01
129,SDSS J053951.99-005902.0,41.62,61,1.01
133,LSR 0602+3910 [de],34.6,28,1.41
135,2MASS J06085283-2753583,102.0,38,1.51
141,2MASS J06244595-4521548 [de],39.0,56,0.99
143,2MASS J06411840-4322329 [de],65.0,67,1.01
145,DENIS-P J0652197-253450 [de],51.0,75,1.05
149,2MASS J07075327-4900503,60.0,72,1.03
151,UGPS J072227.51-054031.2,13.4,26,0.98
153,2MASSI J0727182+171001 [de],29.6,41,0.94
155,2MASS J07290002-3954043 [de],25.8,37,0.94
157,SDSS J074201.41+205520.5 [de],49.0,43,0.94
161,DENIS-P J0751164-253043 [de],55.0,71,1.03
